id,province,adcode,model,regYear,regMonth,forecastVolum
1,上海,310000,3c974920a76ac9c1,2018,1,293.89256888748446
2,云南,530000,3c974920a76ac9c1,2018,1,317.00369361938516
3,内蒙古,150000,3c974920a76ac9c1,2018,1,166.09022862504006
4,北京,110000,3c974920a76ac9c1,2018,1,323.51798852684317
5,四川,510000,3c974920a76ac9c1,2018,1,350.6776874532457
6,安徽,340000,3c974920a76ac9c1,2018,1,169.19043798717738
7,山东,370000,3c974920a76ac9c1,2018,1,468.7642578799142
8,山西,140000,3c974920a76ac9c1,2018,1,206.65609844196
9,广东,440000,3c974920a76ac9c1,2018,1,2917.9811832522987
10,广西,450000,3c974920a76ac9c1,2018,1,349.147631478169
11,江苏,320000,3c974920a76ac9c1,2018,1,729.5549756388624
12,江西,360000,3c974920a76ac9c1,2018,1,176.13752906974514
13,河北,130000,3c974920a76ac9c1,2018,1,344.1143990639117
14,河南,410000,3c974920a76ac9c1,2018,1,324.3815697117935
15,浙江,330000,3c974920a76ac9c1,2018,1,713.5362225253368
16,湖北,420000,3c974920a76ac9c1,2018,1,381.5184825091085
17,湖南,430000,3c974920a76ac9c1,2018,1,296.27229137361746
18,福建,350000,3c974920a76ac9c1,2018,1,295.12404928726943
19,辽宁,210000,3c974920a76ac9c1,2018,1,725.1998231856633
20,重庆,500000,3c974920a76ac9c1,2018,1,107.18912993996254
21,陕西,610000,3c974920a76ac9c1,2018,1,335.5688239266984
22,黑龙江,230000,3c974920a76ac9c1,2018,1,300.1358415554596
23,上海,310000,3d7554f1f56dd664,2018,1,501.6263018728873
24,云南,530000,3d7554f1f56dd664,2018,1,490.65859964866155
25,内蒙古,150000,3d7554f1f56dd664,2018,1,339.4042708785113
26,北京,110000,3d7554f1f56dd664,2018,1,360.73396844774567
27,四川,510000,3d7554f1f56dd664,2018,1,869.123784504554
28,安徽,340000,3d7554f1f56dd664,2018,1,567.3334595616359
29,山东,370000,3d7554f1f56dd664,2018,1,1481.7109309618547
30,山西,140000,3d7554f1f56dd664,2018,1,510.8725892857311
31,广东,440000,3d7554f1f56dd664,2018,1,10754.291893038062
32,广西,450000,3d7554f1f56dd664,2018,1,1124.779703222611
33,江苏,320000,3d7554f1f56dd664,2018,1,2394.054076793032
34,江西,360000,3d7554f1f56dd664,2018,1,602.2148004923745
35,河北,130000,3d7554f1f56dd664,2018,1,1206.6545742184512
36,河南,410000,3d7554f1f56dd664,2018,1,1155.3236119420726
37,浙江,330000,3d7554f1f56dd664,2018,1,2252.317641845549
38,湖北,420000,3d7554f1f56dd664,2018,1,986.7832854720019
39,湖南,430000,3d7554f1f56dd664,2018,1,884.9068371405128
40,福建,350000,3d7554f1f56dd664,2018,1,1669.1222442403318
41,辽宁,210000,3d7554f1f56dd664,2018,1,2149.066819613671
42,重庆,500000,3d7554f1f56dd664,2018,1,341.15746763552227
43,陕西,610000,3d7554f1f56dd664,2018,1,568.3807172906666
44,黑龙江,230000,3d7554f1f56dd664,2018,1,1031.5410569767214
45,上海,310000,2d0d2c3403909fdb,2018,1,148.93427246549297
46,云南,530000,2d0d2c3403909fdb,2018,1,325.3564771640699
47,内蒙古,150000,2d0d2c3403909fdb,2018,1,235.8196906813786
48,北京,110000,2d0d2c3403909fdb,2018,1,392.2280996925951
49,四川,510000,2d0d2c3403909fdb,2018,1,410.6739683490079
50,安徽,340000,2d0d2c3403909fdb,2018,1,143.46439698148566
51,山东,370000,2d0d2c3403909fdb,2018,1,413.5567508803481
52,山西,140000,2d0d2c3403909fdb,2018,1,172.34547874987936
53,广东,440000,2d0d2c3403909fdb,2018,1,1810.5334704911702
54,广西,450000,2d0d2c3403909fdb,2018,1,186.62970317119147
55,江苏,320000,2d0d2c3403909fdb,2018,1,449.29648743677205
56,江西,360000,2d0d2c3403909fdb,2018,1,143.96123492332424
57,河北,130000,2d0d2c3403909fdb,2018,1,430.3866088076087
58,河南,410000,2d0d2c3403909fdb,2018,1,357.39991538205317
59,浙江,330000,2d0d2c3403909fdb,2018,1,438.13454666371206
60,湖北,420000,2d0d2c3403909fdb,2018,1,272.3302582993346
61,湖南,430000,2d0d2c3403909fdb,2018,1,262.4554389687746
62,福建,350000,2d0d2c3403909fdb,2018,1,118.78650702414795
63,辽宁,210000,2d0d2c3403909fdb,2018,1,566.5559808186001
64,重庆,500000,2d0d2c3403909fdb,2018,1,164.72322181633098
65,陕西,610000,2d0d2c3403909fdb,2018,1,272.6882024880037
66,黑龙江,230000,2d0d2c3403909fdb,2018,1,255.64159207446735
67,上海,310000,a28bb927b6fcb33c,2018,1,176.07644137252183
68,云南,530000,a28bb927b6fcb33c,2018,1,357.33355450865423
69,内蒙古,150000,a28bb927b6fcb33c,2018,1,191.38476006716724
70,北京,110000,a28bb927b6fcb33c,2018,1,105.44051436401253
71,四川,510000,a28bb927b6fcb33c,2018,1,467.8739780680438
72,安徽,340000,a28bb927b6fcb33c,2018,1,296.3803566583967
73,山东,370000,a28bb927b6fcb33c,2018,1,551.2923887314561
74,山西,140000,a28bb927b6fcb33c,2018,1,219.46603182409584
75,广东,440000,a28bb927b6fcb33c,2018,1,5011.811866982213
76,广西,450000,a28bb927b6fcb33c,2018,1,554.0277091134236
77,江苏,320000,a28bb927b6fcb33c,2018,1,1261.013404752718
78,江西,360000,a28bb927b6fcb33c,2018,1,442.8172140982785
79,河北,130000,a28bb927b6fcb33c,2018,1,600.2031323948212
80,河南,410000,a28bb927b6fcb33c,2018,1,760.4732334978755
81,浙江,330000,a28bb927b6fcb33c,2018,1,1701.0907536220736
82,湖北,420000,a28bb927b6fcb33c,2018,1,692.4646363772786
83,湖南,430000,a28bb927b6fcb33c,2018,1,708.8290024152237
84,福建,350000,a28bb927b6fcb33c,2018,1,905.4555244189884
85,辽宁,210000,a28bb927b6fcb33c,2018,1,705.328515338966
86,重庆,500000,a28bb927b6fcb33c,2018,1,153.2417040305913
87,陕西,610000,a28bb927b6fcb33c,2018,1,322.4929768935339
88,黑龙江,230000,a28bb927b6fcb33c,2018,1,321.34018804529035
89,上海,310000,17bc272c93f19d56,2018,1,209.30461515710283
90,云南,530000,17bc272c93f19d56,2018,1,2924.558566302617
91,内蒙古,150000,17bc272c93f19d56,2018,1,566.3227433198269
92,北京,110000,17bc272c93f19d56,2018,1,85.16329325589135
93,四川,510000,17bc272c93f19d56,2018,1,1283.9561035229328
94,安徽,340000,17bc272c93f19d56,2018,1,1338.1889731046713
95,山东,370000,17bc272c93f19d56,2018,1,3052.0114333173024
96,山西,140000,17bc272c93f19d56,2018,1,1598.2248022561462
97,广东,440000,17bc272c93f19d56,2018,1,1842.7790236259452
98,广西,450000,17bc272c93f19d56,2018,1,1540.9276892895655
99,江苏,320000,17bc272c93f19d56,2018,1,1900.9241393662844
100,江西,360000,17bc272c93f19d56,2018,1,632.0181728378953
101,河北,130000,17bc272c93f19d56,2018,1,3743.4241003800744
102,河南,410000,17bc272c93f19d56,2018,1,3081.7824357410936
103,浙江,330000,17bc272c93f19d56,2018,1,1507.0283642911595
104,湖北,420000,17bc272c93f19d56,2018,1,1118.6387774748396
105,湖南,430000,17bc272c93f19d56,2018,1,1133.4369331396917
106,福建,350000,17bc272c93f19d56,2018,1,477.4262478617576
107,辽宁,210000,17bc272c93f19d56,2018,1,1134.1672184264028
108,重庆,500000,17bc272c93f19d56,2018,1,253.3015055723713
109,陕西,610000,17bc272c93f19d56,2018,1,1594.8313380921174
110,黑龙江,230000,17bc272c93f19d56,2018,1,607.2967107569897
111,上海,310000,2a2ab41f8f6ff1cb,2018,1,402.828235978297
112,云南,530000,2a2ab41f8f6ff1cb,2018,1,649.2245964576176
113,内蒙古,150000,2a2ab41f8f6ff1cb,2018,1,627.800944343078
114,北京,110000,2a2ab41f8f6ff1cb,2018,1,90.17610247273655
115,四川,510000,2a2ab41f8f6ff1cb,2018,1,1140.3594775877032
116,安徽,340000,2a2ab41f8f6ff1cb,2018,1,1296.7772289689046
117,山东,370000,2a2ab41f8f6ff1cb,2018,1,2401.9632249126357
118,山西,140000,2a2ab41f8f6ff1cb,2018,1,762.3141217923405
119,广东,440000,2a2ab41f8f6ff1cb,2018,1,6384.576517135186
120,广西,450000,2a2ab41f8f6ff1cb,2018,1,722.2088907657627
121,江苏,320000,2a2ab41f8f6ff1cb,2018,1,1968.5048575362387
122,江西,360000,2a2ab41f8f6ff1cb,2018,1,961.9762374377223
123,河北,130000,2a2ab41f8f6ff1cb,2018,1,3027.724325320724
124,河南,410000,2a2ab41f8f6ff1cb,2018,1,3233.5213877571277
125,浙江,330000,2a2ab41f8f6ff1cb,2018,1,1435.3574296627785
126,湖北,420000,2a2ab41f8f6ff1cb,2018,1,1371.341820192441
127,湖南,430000,2a2ab41f8f6ff1cb,2018,1,1718.8494953759478
128,福建,350000,2a2ab41f8f6ff1cb,2018,1,472.9528743442297
129,辽宁,210000,2a2ab41f8f6ff1cb,2018,1,489.47497038643843
130,重庆,500000,2a2ab41f8f6ff1cb,2018,1,627.5072749900812
131,陕西,610000,2a2ab41f8f6ff1cb,2018,1,672.2010827935801
132,黑龙江,230000,2a2ab41f8f6ff1cb,2018,1,595.2939011564606
133,上海,310000,c06a2a387c0ee510,2018,1,1312.2584626460907
134,云南,530000,c06a2a387c0ee510,2018,1,230.43274751552366
135,内蒙古,150000,c06a2a387c0ee510,2018,1,190.43741089410668
136,北京,110000,c06a2a387c0ee510,2018,1,1572.7537749736919
137,四川,510000,c06a2a387c0ee510,2018,1,387.22721234972585
138,安徽,340000,c06a2a387c0ee510,2018,1,412.898862782785
139,山东,370000,c06a2a387c0ee510,2018,1,1516.0068200519622
140,山西,140000,c06a2a387c0ee510,2018,1,351.1924957241335
141,广东,440000,c06a2a387c0ee510,2018,1,1292.0940837495425
142,广西,450000,c06a2a387c0ee510,2018,1,140.31193995075782
143,江苏,320000,c06a2a387c0ee510,2018,1,1397.5975002645716
144,江西,360000,c06a2a387c0ee510,2018,1,211.14725736000804
145,河北,130000,c06a2a387c0ee510,2018,1,871.6873573432728
146,河南,410000,c06a2a387c0ee510,2018,1,933.2034828218353
147,浙江,330000,c06a2a387c0ee510,2018,1,1113.6318253321133
148,湖北,420000,c06a2a387c0ee510,2018,1,308.10368157286223
149,湖南,430000,c06a2a387c0ee510,2018,1,240.7551270832924
150,福建,350000,c06a2a387c0ee510,2018,1,257.076461616852
151,辽宁,210000,c06a2a387c0ee510,2018,1,449.1219176717337
152,重庆,500000,c06a2a387c0ee510,2018,1,167.7586957091147
153,陕西,610000,c06a2a387c0ee510,2018,1,406.6590806884391
154,黑龙江,230000,c06a2a387c0ee510,2018,1,289.7561074442621
155,上海,310000,7023efdab9cedc03,2018,1,376.03833353799376
156,云南,530000,7023efdab9cedc03,2018,1,89.06536197856394
157,内蒙古,150000,7023efdab9cedc03,2018,1,46.39069932978159
158,北京,110000,7023efdab9cedc03,2018,1,71.35969407037324
159,四川,510000,7023efdab9cedc03,2018,1,306.5216233068729
160,安徽,340000,7023efdab9cedc03,2018,1,441.43165720642094
161,山东,370000,7023efdab9cedc03,2018,1,319.43937455638866
162,山西,140000,7023efdab9cedc03,2018,1,65.66879103605571
163,广东,440000,7023efdab9cedc03,2018,1,400.31625632790815
164,广西,450000,7023efdab9cedc03,2018,1,102.00419058591692
165,江苏,320000,7023efdab9cedc03,2018,1,919.8473335875484
166,江西,360000,7023efdab9cedc03,2018,1,236.82273854432225
167,河北,130000,7023efdab9cedc03,2018,1,207.2344648976332
168,河南,410000,7023efdab9cedc03,2018,1,318.7001505685771
169,浙江,330000,7023efdab9cedc03,2018,1,603.2296621015147
170,湖北,420000,7023efdab9cedc03,2018,1,261.5864087693795
171,湖南,430000,7023efdab9cedc03,2018,1,229.31672409757522
172,福建,350000,7023efdab9cedc03,2018,1,156.19575868030407
173,辽宁,210000,7023efdab9cedc03,2018,1,66.08201436364443
174,重庆,500000,7023efdab9cedc03,2018,1,100.72774104722498
175,陕西,610000,7023efdab9cedc03,2018,1,131.0402064658443
176,黑龙江,230000,7023efdab9cedc03,2018,1,31.654763399794472
177,上海,310000,af6f4f548684e14d,2018,1,1018.1731170621708
178,云南,530000,af6f4f548684e14d,2018,1,353.51768915129486
179,内蒙古,150000,af6f4f548684e14d,2018,1,349.2534244945348
180,北京,110000,af6f4f548684e14d,2018,1,510.5216290556675
181,四川,510000,af6f4f548684e14d,2018,1,1020.0621136016266
182,安徽,340000,af6f4f548684e14d,2018,1,1032.1515406786332
183,山东,370000,af6f4f548684e14d,2018,1,1243.48557980346
184,山西,140000,af6f4f548684e14d,2018,1,475.2280052997906
